mp3_path,scaled_subsonic_energy,duration_seconds
"/Users/nicholasbennett/Music/DJ Collection/Jamie xx - KILL DEM.mp3",290.18,223.54
"/Users/nicholasbennett/Music/DJ Collection/What So Not - Adieu.mp3",397.25,100.76
"/Users/nicholasbennett/Music/DJ Collection/Effy - iluv.mp3",313.67,257.80
"/Users/nicholasbennett/Music/DJ Collection/Lenora - Lights - Radio Edit.mp3",848.09,220.05
"/Users/nicholasbennett/Music/DJ Collection/Klanglos - Lights of Faith.mp3",344.04,360.95
"/Users/nicholasbennett/Music/DJ Collection/The Glitch Mob - Fortune Days.mp3",126.14,382.81
"/Users/nicholasbennett/Music/DJ Collection/Eargasm God - BLUSH.mp3",273.28,303.58
"/Users/nicholasbennett/Music/DJ Collection/Zepherin Saint - Shine.mp3",108.19,407.83
"/Users/nicholasbennett/Music/DJ Collection/Upper Class - Subside.mp3",172.53,223.59
"/Users/nicholasbennett/Music/DJ Collection/Funk Assault - Pre-Gig Selfie.mp3",473.56,285.83
"/Users/nicholasbennett/Music/DJ Collection/Crush3d - Slug.mp3",344.99,215.43
"/Users/nicholasbennett/Music/DJ Collection/Nxcre - Desire (Jersey Club Remix).mp3",619.49,139.13
"/Users/nicholasbennett/Music/DJ Collection/Ezinma - Beethoven Pleads The Fifth.mp3",176.26,198.39
"/Users/nicholasbennett/Music/DJ Collection/DJ Sliink - Put Cha Back In It.mp3",441.84,128.97
"/Users/nicholasbennett/Music/DJ Collection/Moduz - flasbak.mp3",1477.75,67.55
"/Users/nicholasbennett/Music/DJ Collection/Big Daddy Deja - Juke me on the floor.mp3",75.08,119.72
"/Users/nicholasbennett/Music/DJ Collection/David Lurey - Angel Heart.mp3",19.11,269.95
"/Users/nicholasbennett/Music/DJ Collection/The Prodigy - Firestarter.mp3",136.67,279.80
"/Users/nicholasbennett/Music/DJ Collection/HPShawty - Funky Ass Flava.mp3",150.01,244.38
"/Users/nicholasbennett/Music/DJ Collection/Babsy. - Everywhere.mp3",441.82,166.15
"/Users/nicholasbennett/Music/DJ Collection/Rick Astley - Never Gonna Give You Up.mp3",76.51,213.96
"/Users/nicholasbennett/Music/DJ Collection/MCR-T - My Barn My Rules REMIX.mp3",716.24,153.34
"/Users/nicholasbennett/Music/DJ Collection/Channel Tres - Walked In The Room.mp3",552.66,198.31
"/Users/nicholasbennett/Music/DJ Collection/Toni Moralez - D1R7Y L0W 5LU7 7R4MP.mp3",222.55,283.13
"/Users/nicholasbennett/Music/DJ Collection/Jersey - The World I’m Searching For.mp3",373.47,173.31
"/Users/nicholasbennett/Music/DJ Collection/GloRilla - Lick Or Sum.mp3",855.99,141.60
"/Users/nicholasbennett/Music/DJ Collection/Lil Mz 313 - Fuck Me With His Eyes.mp3",728.83,211.20
"/Users/nicholasbennett/Music/DJ Collection/Levity - Flip It.mp3",517.93,132.64
"/Users/nicholasbennett/Music/DJ Collection/Sango - Don-'t Tell Me.mp3",187.36,136.07
"/Users/nicholasbennett/Music/DJ Collection/Anthony Linell - Illusion Self.mp3",223.87,542.49
"/Users/nicholasbennett/Music/DJ Collection/Disclosure - When A Fire Starts To Burn.mp3",323.85,283.71
"/Users/nicholasbennett/Music/DJ Collection/Chrome Sparks - You Are Love.mp3",514.50,148.27
"/Users/nicholasbennett/Music/DJ Collection/Jvke - this is what space feels like.mp3",256.40,183.02
"/Users/nicholasbennett/Music/DJ Collection/James Tillman - Magic City Thrill.mp3",462.39,120.49
"/Users/nicholasbennett/Music/DJ Collection/James Blake - Are You Even Real.mp3",210.74,231.81
"/Users/nicholasbennett/Music/DJ Collection/OSHUN - Kali.mp3",375.76,213.33
"/Users/nicholasbennett/Music/DJ Collection/LilC4 - Bouncing (feat. Tokyo & DJ Bake).mp3",382.38,158.07
"/Users/nicholasbennett/Music/DJ Collection/Caiiro - Your Voice.mp3",163.51,260.66
"/Users/nicholasbennett/Music/DJ Collection/Bread Beatz - Love Game.mp3",1451.18,157.21
"/Users/nicholasbennett/Music/DJ Collection/TUI - Você Quer.mp3",95.20,151.90
"/Users/nicholasbennett/Music/DJ Collection/Flying Lotus - Kurosaka Strikes!.mp3",970.42,79.27
"/Users/nicholasbennett/Music/DJ Collection/Princess Nokia - happy.mp3",228.33,200.00
"/Users/nicholasbennett/Music/DJ Collection/Facesoul - Grow - A COLORS ENCORE.mp3",56.10,207.50
"/Users/nicholasbennett/Music/DJ Collection/Airod - Strange Mind.mp3",213.25,371.93
"/Users/nicholasbennett/Music/DJ Collection/Alignment - Nothingness.mp3",327.68,318.45
"/Users/nicholasbennett/Music/DJ Collection/The Chronics - Luz.mp3",303.02,349.09
"/Users/nicholasbennett/Music/DJ Collection/Partiboi69 - Freq U All Nite.mp3",394.27,283.94
"/Users/nicholasbennett/Music/DJ Collection/Frankie Knuckles - The Whistle Song.mp3",321.44,391.68
"/Users/nicholasbennett/Music/DJ Collection/Willie Hutch - I Choose You.mp3",9.41,221.89
"/Users/nicholasbennett/Music/DJ Collection/INVT - ACID TWERK.mp3",327.76,228.00
"/Users/nicholasbennett/Music/DJ Collection/LB aka LABAT - Feel the Beat.mp3",201.94,397.19
"/Users/nicholasbennett/Music/DJ Collection/Creeds - Push Up.mp3",408.96,139.30
"/Users/nicholasbennett/Music/DJ Collection/Sammy - Mouf.mp3",278.62,111.12
"/Users/nicholasbennett/Music/DJ Collection/Alarico - Sino.mp3",558.79,285.42
"/Users/nicholasbennett/Music/DJ Collection/Ottonian - 4 The Heartbroken.mp3",170.96,304.74
"/Users/nicholasbennett/Music/DJ Collection/Beautiful Chorus - Hymn of Healing.mp3",0.22,500.46
"/Users/nicholasbennett/Music/DJ Collection/Black Balloons - EARTHBOUND.mp3",667.27,103.26
"/Users/nicholasbennett/Music/DJ Collection/Toma Kami - Ritmo Actual.mp3",131.01,324.80
"/Users/nicholasbennett/Music/DJ Collection/Nate Traveller - Tenderness Kindness.mp3",226.31,102.06
"/Users/nicholasbennett/Music/DJ Collection/Andy Stott - Versi.mp3",157.71,326.53
"/Users/nicholasbennett/Music/DJ Collection/Mello Will - Iss Just Money.mp3",999.74,111.90
"/Users/nicholasbennett/Music/DJ Collection/Eddy Mack - The sound of war (Remix).mp3",41.19,145.60
"/Users/nicholasbennett/Music/DJ Collection/Simo Cell - Whispers.mp3",508.93,256.50
"/Users/nicholasbennett/Music/DJ Collection/Snatam Kaur - Long Time Sun.mp3",12.23,161.36
"/Users/nicholasbennett/Music/DJ Collection/Drucal - Agony.mp3",199.22,370.59
"/Users/nicholasbennett/Music/DJ Collection/Peachkka - Water.mp3",600.01,180.92
"/Users/nicholasbennett/Music/DJ Collection/Halon Per - Begin.mp3",222.64,96.00
"/Users/nicholasbennett/Music/DJ Collection/Jay Eazy - Tomioka (with Flo Milli).mp3",419.98,137.53
"/Users/nicholasbennett/Music/DJ Collection/Bryan Kearney & Snatam Kaur - Ong Namo (Original Mix) [ruSOO-m--lo].mp3",255.51,318.29
"/Users/nicholasbennett/Music/DJ Collection/Fred again.. - Admit It (u don-'t want 2).mp3",257.31,385.07
"/Users/nicholasbennett/Music/DJ Collection/The Glitch Mob - Our Demons (feat. Aja Volkman).mp3",154.01,316.00
"/Users/nicholasbennett/Music/DJ Collection/Odd Mob - Mind Awake, Body Asleep.mp3",486.14,150.45
"/Users/nicholasbennett/Music/DJ Collection/LilC4 - Soul Bop.mp3",995.75,109.53
"/Users/nicholasbennett/Music/DJ Collection/Tobiahs - Lifetime.mp3",439.91,158.82
"/Users/nicholasbennett/Music/DJ Collection/TUI - Parque União.mp3",445.18,155.09
"/Users/nicholasbennett/Music/DJ Collection/TUI - Um Cinco Sete.mp3",395.70,206.77
"/Users/nicholasbennett/Music/DJ Collection/Gorgon City - You-'ve Done Enough.mp3",380.52,213.55
"/Users/nicholasbennett/Music/DJ Collection/King Princess - Pussy Is God.mp3",263.99,205.53
"/Users/nicholasbennett/Music/DJ Collection/JVKINHO - Deixa Pra Lá.mp3",273.48,106.87
"/Users/nicholasbennett/Music/DJ Collection/Doc Scott - Tokyo Dawn.mp3",90.39,372.04
"/Users/nicholasbennett/Music/DJ Collection/DBBD - Mini Skirts on Men.mp3",474.16,159.54
"/Users/nicholasbennett/Music/DJ Collection/LAZE - Yukko.mp3",219.68,291.30
"/Users/nicholasbennett/Music/DJ Collection/Peachkka - Throat Chakra (feat. Shariya Wise) (Shariya Wise Remix).mp3",420.58,201.35
"/Users/nicholasbennett/Music/DJ Collection/Sammy Virji - If U Need It.mp3",421.59,180.00
"/Users/nicholasbennett/Music/DJ Collection/Smino - Z4L.mp3",490.54,162.59
"/Users/nicholasbennett/Music/DJ Collection/Westend - Rhythm Machine.mp3",320.18,187.50
"/Users/nicholasbennett/Music/DJ Collection/Lorn - The Gun.mp3",343.34,196.22
"/Users/nicholasbennett/Music/DJ Collection/JV & Palf - Don-'t Stop.mp3",316.13,221.55
"/Users/nicholasbennett/Music/DJ Collection/EthanUno - pensando en ti.mp3",1137.82,105.88
"/Users/nicholasbennett/Music/DJ Collection/Sammy Virji - Alright (feat. Lucy Virji).mp3",256.06,277.00
"/Users/nicholasbennett/Music/DJ Collection/SuperShy - Happy Music.mp3",227.96,232.63
"/Users/nicholasbennett/Music/DJ Collection/Primoris - Dreams of Technicolor.mp3",355.21,81.15
"/Users/nicholasbennett/Music/DJ Collection/Joep Beving - Wanderlust.mp3",0.74,343.39
"/Users/nicholasbennett/Music/DJ Collection/Beautiful Chorus - I Am Connected.mp3",1.88,425.39
"/Users/nicholasbennett/Music/DJ Collection/SPXRXT - Cry-0.mp3",423.21,152.00
"/Users/nicholasbennett/Music/DJ Collection/Disco Lines - I See Colors.mp3",270.75,192.43
"/Users/nicholasbennett/Music/DJ Collection/Monolithic - Do You Feel It Too.mp3",308.33,221.66
"/Users/nicholasbennett/Music/DJ Collection/DM 90 - Pose Flexy.mp3",608.09,182.44
"/Users/nicholasbennett/Music/DJ Collection/DBBD - POM.mp3",497.61,182.41
"/Users/nicholasbennett/Music/DJ Collection/DjTray x Hotrod x 4Batz - 4Batz - Date @ 8 (Jersey Club Remix).mp3",731.54,164.57
"/Users/nicholasbennett/Music/DJ Collection/Champion - Hot In Here.mp3",284.11,191.02
"/Users/nicholasbennett/Music/DJ Collection/Micheál Dear. - Hold Your Mouth.mp3",1034.58,115.20
"/Users/nicholasbennett/Music/DJ Collection/MAC MILLER - The Spins.mp3",278.35,195.87
"/Users/nicholasbennett/Music/DJ Collection/Ms Nina - Coqueta.mp3",244.80,156.76
"/Users/nicholasbennett/Music/DJ Collection/WTCHCRFT - Wait!.mp3",507.63,229.31
"/Users/nicholasbennett/Music/DJ Collection/Beautiful Chorus - Darling (Expanded).mp3",133.41,160.86
"/Users/nicholasbennett/Music/DJ Collection/Caroline Polachek - Door.mp3",58.35,322.56
"/Users/nicholasbennett/Music/DJ Collection/Teenage Mutants - Dark Clouds (feat. Heerhorst & Peter Pahn).mp3",280.15,355.83
"/Users/nicholasbennett/Music/DJ Collection/Vhoor - Desce Vai.mp3",510.04,147.83
"/Users/nicholasbennett/Music/DJ Collection/Raffaele Attanasio - Quasar.mp3",384.78,281.93
"/Users/nicholasbennett/Music/DJ Collection/Batu - In Tongues.mp3",423.07,305.15
"/Users/nicholasbennett/Music/DJ Collection/Monoloop - Smoking.mp3",507.89,212.61
"/Users/nicholasbennett/Music/DJ Collection/Mark Blair - Ginseng Strip 303.mp3",85.87,333.63
"/Users/nicholasbennett/Music/DJ Collection/Delayron - Research.mp3",364.67,83.20
"/Users/nicholasbennett/Music/DJ Collection/Alarico - AF 97.mp3",456.83,369.23
"/Users/nicholasbennett/Music/DJ Collection/Bae Blade - I Like.mp3",175.34,283.94
"/Users/nicholasbennett/Music/DJ Collection/MCR-T - Go to My Show.mp3",272.25,257.37
"/Users/nicholasbennett/Music/DJ Collection/Doja Cat - Freak.mp3",152.05,284.48
"/Users/nicholasbennett/Music/DJ Collection/Mr.De-' - Woodward Ave.mp3",38.34,199.18
"/Users/nicholasbennett/Music/DJ Collection/Deva Premal - Om Namah Shivaya (Bhakti Brothers Remix).mp3",38.16,352.89
"/Users/nicholasbennett/Music/DJ Collection/DJ Seinfeld - These Things Will Come To Be.mp3",122.78,296.36
"/Users/nicholasbennett/Music/DJ Collection/KVLR - The Navigator.mp3",390.78,292.29
"/Users/nicholasbennett/Music/DJ Collection/Jenn Getz & Alfie - Vibration.mp3",472.54,177.26
"/Users/nicholasbennett/Music/DJ Collection/Mvntana - Werk (Clout Chaser Extended).mp3",2422.71,72.83
"/Users/nicholasbennett/Music/DJ Collection/Lil Mariko - Hi, I-'m a Slut.mp3",971.91,170.82
"/Users/nicholasbennett/Music/DJ Collection/JVKINHO - Angel.mp3",194.85,168.00
"/Users/nicholasbennett/Music/DJ Collection/LilC4 - Jade.mp3",921.87,88.48
"/Users/nicholasbennett/Music/DJ Collection/Beautiful Chorus - I Rise Up.mp3",0.38,327.83
"/Users/nicholasbennett/Music/DJ Collection/Rick and Morty - Rick and Morty Theme.mp3",275.79,35.99
"/Users/nicholasbennett/Music/DJ Collection/Jens Lissat & Bonzai All Stars - Open Sesame.mp3",418.47,276.47
"/Users/nicholasbennett/Music/DJ Collection/MATVEÏ - NOSTALGIA_.mp3",614.03,145.00
"/Users/nicholasbennett/Music/DJ Collection/Jaca Beats - Me Apresentei.mp3",526.37,134.43
"/Users/nicholasbennett/Music/DJ Collection/Sofia Kourtesis - Si Te Portas Bonito.mp3",185.06,301.85
"/Users/nicholasbennett/Music/DJ Collection/Rrose - In Place of Matter.mp3",174.52,420.50
"/Users/nicholasbennett/Music/DJ Collection/Alina Baraz - Make You Feel.mp3",216.07,220.80
"/Users/nicholasbennett/Music/DJ Collection/박혜진 park hye jin - Like this.mp3",117.09,245.80
"/Users/nicholasbennett/Music/DJ Collection/Alex Isley - Good & Plenty.mp3",143.76,204.71
"/Users/nicholasbennett/Music/DJ Collection/KaLiii - Area Codes.mp3",536.66,139.33
"/Users/nicholasbennett/Music/DJ Collection/LilC4 - Let Me See Sum.mp3",1303.43,100.02
"/Users/nicholasbennett/Music/DJ Collection/Deborah de Luca - Move Ya Body.mp3",255.73,365.14
"/Users/nicholasbennett/Music/DJ Collection/Alarico - Drops of You.mp3",428.53,289.37
"/Users/nicholasbennett/Music/DJ Collection/Stan Christ - Acid Error.mp3",432.63,294.00
"/Users/nicholasbennett/Music/DJ Collection/Somewhen - Restless.mp3",265.90,394.33
"/Users/nicholasbennett/Music/DJ Collection/DJ Fingerblast - SENSUAL SEDUCTION.mp3",406.05,269.20
"/Users/nicholasbennett/Music/DJ Collection/Peachkka - I-'m Free.mp3",624.57,156.28
"/Users/nicholasbennett/Music/DJ Collection/There Is No One But Me - This Is Who I Am.mp3",147.31,250.80
"/Users/nicholasbennett/Music/DJ Collection/Criminal Practice - Booty Treatment.mp3",137.05,275.20
